City,Law Firm Name,Street Address,Province,Postal Code,Phone Number,Website,Decision Maker Name,Title/Role,Practice Focus,Notes
Windsor,Johnson Miller Family Lawyers,420 Devonshire Road,ON,N8Y 4T6,519-973-1500,https://jasonpaulhowie.com/,Jason Paul Howie,Founding Partner - Certified Family Law Specialist,Family Law - Divorce - Custody - Support - Property Division,"Over 25 years experience; Certified by Law Society as Family Law Specialist; practices exclusively in family law"
Windsor,Johnson Miller Family Lawyers,420 Devonshire Road,ON,N8Y 4T6,519-973-1500,https://jasonpaulhowie.com/,Amy Johnson,Founding Partner,Family Law - Divorce - Custody - Support,"Called to bar 2015; Founded Cuddles Clothing for Kids charity; graduated top 20% of class"
Windsor,Pearce Ducharme Family Law,359 Goyeau Street,ON,N9A 1G9,519-256-2662,https://www.pearceducharme.com/,Allan Dare Pearce,Founding Partner,Family Law - Divorce - Custody - Property Division,"Partnership established 1975; accepts Legal Aid; free consultations available"
Windsor,Pearce Ducharme Family Law,359 Goyeau Street,ON,N9A 1G9,519-256-2662,https://www.pearceducharme.com/,Mary Anne Ducharme,Founding Partner,Family Law - Divorce - Custody - Property Division,"Partnership established 1975; Legal Aid Ontario panel member"
Windsor,Lisa Labute Law Office,500 Ouellette Avenue Suite 900,ON,N9A 1B3,519-252-6822,https://www.lisalabutelawfirm.ca/,Lisa Labute,Principal/Sole Practitioner,Family Law - Divorce - Custody - Child Protection - Property Division,"30+ years experience; Certified Collaborative Law; Panel member Office of Children's Lawyer; accepts Legal Aid"
Windsor,Fox McNevin MacKay LLP,2485 Ouellette Avenue Suite 104,ON,N8X 1L4,519-259-1820,https://foxmcnevinmackay.com/,Tanya McNevin,Partner,Family Law - Divorce - Custody - Property Division - Spousal Support,"Called to bar 2011; Founding coordinator Family Law Association of Windsor; extensive courtroom experience"
Windsor,Fox McNevin MacKay LLP,2485 Ouellette Avenue Suite 104,ON,N8X 1L4,519-259-1820,https://foxmcnevinmackay.com/,Thomas MacKay,Partner,Family Law - Divorce - Custody - Mediation,"Called to bar 2011; JD from University of Windsor; aspiring family mediator"
Windsor,Philcox and Hurley Law Office,1361 Ouellette Ave Unit 201,ON,N8X 1J6,519-915-6136,https://phlawfirm.ca/,Frank Philcox,Founding Partner,Family Law - Divorce - Separation,"Established 2010; 40+ years combined experience; former in-house counsel Windsor Essex Children's Aid Society; accepts Legal Aid and Unifor Legal"
Windsor,Philcox and Hurley Law Office,1361 Ouellette Ave Unit 201,ON,N8X 1J6,519-915-6136,https://phlawfirm.ca/,Mark L. Hurley,Founding Partner,Family Law - Divorce - Separation,"Established 2010; former in-house counsel Windsor Essex Children's Aid Society; conducts trials regularly"
Windsor,Beaumont Law Offices,2510 Ouellette Avenue L01,ON,N8X 1L4,519-966-3773,https://www.beaumontlawoffices.com/,Sheila A. Beaumont,Principal,Family Law - Divorce - Separation - Adoptions,"Handles all matters of family law including adoptions"
Windsor,Kirwin Partners LLP,423 Pelissier Street,ON,N9A 4L2,519-255-9840,https://kirwinpartners.com/,Warren S. Fullerton,Partner - Certified Family Law Specialist,Family Law - Divorce - Custody - Property Division - Spousal Support,"Certified Specialist by Law Society; practicing family law since 1982; extensive trial and appellate experience"
Windsor,Chodola Reynolds Binder,720 Walker Road,ON,N8Y 2N3,519-254-6433,https://www.crblaw.ca/,Michael Drake,Family Law Lawyer,Family Law - Divorce - Custody,"Firm founded 1974 by Albert S. Chodola; 6 lawyers; serves Windsor and throughout Ontario"
Windsor,Chodola Reynolds Binder,720 Walker Road,ON,N8Y 2N3,519-254-6433,https://www.crblaw.ca/,Erin Reynolds,Lawyer,Family Law - Divorce,"Firm established since 1973"
Windsor,Nadia R. Bhatti Barrister & Solicitor,553 Ouellette Avenue,ON,N9A 4J3,519-252-9697,https://www.nadiabhattilaw.com/,Nadia R. Bhatti,Principal/Sole Practitioner,Family Law - Divorce - Alternative Dispute Resolution,"Called to bar 2003; 10+ years family law practice; speaks English Urdu Hindi Punjabi; focuses on out-of-court resolution"
Windsor,D. Cervini Law,6565 Wyandotte St E,ON,N8S 1P3,519-890-3380,https://www.dcervinilaw.com/,Dominic Cervini,Principal/Sole Practitioner,Family Law - Civil Litigation - Notary Public,"Studied law internationally UK US Canada; Master's degree in law; serves Windsor Tecumseh LaSalle Essex Kingsville Leamington Amherstburg"
Windsor,Maggio Walk-in Law Firm,1566 Huron Church Rd,ON,N9C 2L1,519-985-6111,https://www.maggiowalkinlaw.com/,N/A,N/A,Family Law - Divorce - Child Custody - Support - Asset Division,"On-demand legal advice; served thousands of clients; Saturday appointments available"
Windsor,Debly Law,859 University Avenue W,ON,N9A 5S1,519-253-2000,https://deblylaw.com/,Anthony G. Debly,Owner/Principal,Family Law - Family Mediation - Divorce,"Family owned firm; former City of Windsor lawyer and prosecutor for 15 years"
Leamington,Jennifer Thomas Law Office P.C.,268 Erie St S,ON,N8H 3C5,226-704-2448,https://www.jenniferthomaslawoffice.ca/,Jennifer Thomas,Principal/Sole Practitioner,Family Law - Divorce - Custody - Real Estate,"20+ years experience; serves Leamington Kingsville Windsor areas; Notary Public"
Leamington,Ricci Enns Rollier & Setterington LLP,60 Talbot St W,ON,N8H 1M4,519-326-3237,https://rers.ca/,Frank Ricci,Partner,Family Law - Real Estate - Wills & Estates - Corporate,"Full service law firm; over a century of history; serves Leamington and surrounding areas"
Leamington,Scaddan & Jakob Law Firm,16 Wellington St,ON,N8H 3W5,519-326-8638,http://www.scadjaklaw.com/,B. Douglas Scaddan,Partner,Family Law - Collaborative Law - Commercial Law - Civil Law,"Serves clients in Southwestern Ontario and US border areas"
Leamington,Sawatzkys LLP,5 Russell St,ON,N8H 1T7,519-322-2341,https://www.sawatzkybalzer.com/,Suzanne Balzer,Founding Partner,Family Law - Divorce - Mediation - Real Estate - Wills,"Founded 1990; called to bar 1987; serves Windsor Essex County Chatham Kent"
Kingsville,McGregor Sims Schmoranz Hart Professional Corporation,58 Main St E,ON,N9Y 1A2,519-733-8441,https://msslawyers.ca/,N/A,N/A,General Practice - Family Law - Real Estate,"Serving Kingsville and Essex County since 1968"
Belle River/Lakeshore,Kim Deane Law Office,N/A,ON,N/A,519-944-5222,https://www.kimdeanelawoffice.ca/,Kim T. Deane,Principal/Sole Practitioner,Family Law - Divorce - Custody - Support - Property Division,"Called to bar 1997; experienced family law litigator; serves Windsor Belle River Tecumseh"
Belle River/Lakeshore,Roman Krupnyk Law,531 Notre Dame Street,ON,N0R 1A0,519-728-2000,https://www.krupnyklaw.com/,Roman Krupnyk,Principal/Sole Practitioner,Family Law - Divorce - Real Estate - Wills,"General practice; serves Municipality of Lakeshore and Essex County"
Chatham,J. Quaglia Law Office,193 Queen Street PO Box 1087,ON,N7M 5L6,519-352-8580,https://jquaglialaw.ca/,Jonathan Quaglia,Founder/Senior Lawyer,Family Law - Estate Litigation - Real Estate,"Practicing in Chatham-Kent since 1994; manages Family Law and Estate Litigation departments"
Chatham,J. Quaglia Law Office,193 Queen Street PO Box 1087,ON,N7M 5L6,519-352-8580,https://jquaglialaw.ca/,Kurtina Hammerlein,Solicitor and Notary Public,Wills & Estates - Estate Administration,"Practicing since 2003; manages Wills and Estate Administration departments"
Chatham,J. Quaglia Law Office,193 Queen Street PO Box 1087,ON,N7M 5L6,519-352-8580,https://jquaglialaw.ca/,Meghan Harrogate,Lawyer,Family Law - General Practice,"Part of Chatham-Kent based general law firm"
Chatham,Langford Law Office,55 Dover Street,ON,N7L 1S7,519-360-1740,https://www.langfordlawoffice.ca/,Brad Langford,Principal,Family Law - Divorce - Custody - Child Support - Estate Planning,"Expert advice reasonable rates; friendly service"
Chatham,Mitchell & Mitchell,4 6th St,ON,N7M 4T9,519-351-2200,N/A,N/A,N/A,Family Law - Divorce - Real Estate - Corporate - Wills & Estates,"Full service firm serving Chatham-Kent"
Chatham,Jeff O'Brien Barrister & Solicitor,213 King Street West Unit 202,ON,N7M 5E6,226-797-6464,https://jeffobrienlaw.ca/,Jeff O'Brien,Principal,Family Law - Divorce - Mediation - Children's Aid,Downtown Chatham location; family law is main focus; tailored legal advice
Chatham,O'Brien Jacklin Sulman,870 Park Avenue West,ON,N7M 5K6,226-797-0446,https://www.ojwslaw.com/,Jerry F. O'Brien,Partner,Family Law - Criminal - Personal Injury - Real Estate,"Founded 1948; AV Preeminent rating 2025"
Chatham,O'Brien Jacklin Sulman,870 Park Avenue West,ON,N7M 5K6,226-797-0446,https://www.ojwslaw.com/,David E. Jacklin,Partner,Personal Injury - Insurance - Family Law,"Founded 1948; full service firm"
Chatham,O'Brien Jacklin Sulman,870 Park Avenue West,ON,N7M 5K6,226-797-0446,https://www.ojwslaw.com/,Douglas A. Sulman Q.C.,Partner,Family Law - Business - Employment,"Q.C. designation; experienced practitioner"
Chatham,Anderson Law Group,44 William Street North 2nd Floor,ON,N7M 5K1,519-397-2889,https://alglaw.ca/,Lindsey Anderson,Lawyer,Family Law - Real Estate - Business Law - Wills & Estates,"Over 100 years serving Chatham-Kent; uncontested family law matters"
Chatham,Anderson Law Group,44 William Street North 2nd Floor,ON,N7M 5K1,519-397-2889,https://alglaw.ca/,Katherine Denkers,Lawyer - Family Mediator,Family Law - Mediation - Real Estate,"Called to bar 2018; accredited family mediator since 2020; collaborative family law"
Wallaceburg,Anderson Law Group,N/A,ON,N/A,519-627-2261,https://alglaw.ca/,Katherine Denkers,Lawyer - Family Mediator,Family Law - Mediation - Real Estate,"Serves Wallaceburg and Chatham offices"
Wallaceburg,J Thomas McGregor Professional Corporation,233 Creek St,ON,N8A 4C1,519-627-2081,https://www.jtmcgregorlaw.com/,Tom McGregor,Principal,Uncontested Family Law - Real Estate - Wills & Estates - Corporate,"Handles cohabitation agreements to uncontested divorces"
Wallaceburg,John E. Mathany / Carscallen Reinhart Mathany Maslak,619 James Street PO Box 409,ON,N8A 4X1,519-627-2261,N/A,John E. Mathany,Managing Partner,Family Law - Real Estate - Corporate Commercial,"Managing Partner at Carscallen Reinhart Mathany Maslak"
Wallaceburg,Robert J. Burgess,218 Duncan St PO Box 87,ON,N8A 4L5,519-627-3350,N/A,Robert J. Burgess,Principal/Sole Practitioner,Family Law - Criminal Law - Civil Law,"General practice serving Wallaceburg area"
Tilbury,Taylor & Delrue,40 Queen Street S PO Box 459,ON,N0P 2L0,519-682-0164,https://www.taylordelrue.com/,John C. Taylor Q.C.,Partner,Real Estate - Administrative Law - Corporate,"Q.C. designation; satellite offices in Windsor and Leamington"
Ridgetown,Douglas Desmond Law Office,27 Main St E PO Box 129,ON,N0P 2C0,519-674-1955,http://desmondlawoffice.ca/,Douglas Bruce Desmond,Principal/Sole Practitioner,Family Law - Wills & Probate - Criminal - Real Estate,"Full service firm servicing Southwestern Ontario"
Thamesville,Chalmers Thomas G,7 Victoria St PO Box 190,ON,N0P 2K0,519-692-3842,N/A,Thomas G. Chalmers,Principal/Sole Practitioner,Family Law - General Practice - Human Rights,"Handles marital issues and family law matters"
Chatham-Kent,Chatham-Kent Legal Clinic,455 Grand Ave E Unit 9,ON,N7L 1X4,519-351-6771,https://cklc.ca/,N/A,N/A,Family Law - Child Custody - Child Support - Children's Aid,"Legal Aid clinic; serves low-income residents; free services"
London (serves Chatham-Kent),Family Law Group,N/A,ON,N/A,519-672-5953,https://www.familylawgroup.ca/,N/A,N/A,Family Law - Divorce - Custody - Spousal Support,"Serves Chatham-Kent area via London office; virtual consultations available"
