City,Church/Organization Name,Denomination/Religion,Street Address,Province,Postal Code,Phone Number,Website,Decision Maker Name,Title/Role,Notes
Windsor,Our Lady of the Assumption (Assumption Basilica),Roman Catholic,350 Huron Church Road,ON,N9C 2J9,519-253-2493,https://assumptionparish.ca/,Fr. Timothy Scott CSB,Pastor,"Windsor Heritage Family of Parishes; Historic basilica; Large congregation"
Windsor,St. Alphonsus Catholic Church,Roman Catholic,85 Park Street East,ON,N9A 3A8,519-256-1849,https://stalphonsuschurch.ca/,Fr. Timothy Scott CSB,Pastor,"Windsor Heritage Family of Parishes"
Windsor,St. Angela Merici Catholic Church,Roman Catholic,980 Louis Avenue,ON,N9A 1X9,519-254-5542,https://stangelamerici.ca/,Fr. Timothy Scott CSB,Pastor,"Italian community parish; Via Italia area"
Windsor,Holy Name of Mary Catholic Church,Roman Catholic,711 McEwan Avenue,ON,N9B 2E1,519-253-8361,https://windsorheritageparishes.ca/,Fr. Timothy Scott CSB,Pastor,"Windsor Heritage Family of Parishes"
Windsor,Most Precious Blood Catholic Church,Roman Catholic,1947 Meldrum Road,ON,N8W 4E3,519-948-4133,https://ncwcf.dol.ca/,Contact Parish Office,Pastor,"North Central Windsor Family; Large parish"
Windsor,St. Theresa Catholic Church,Roman Catholic,1991 Norman Road,ON,N8N 1T5,519-948-4133,https://ncwcf.dol.ca/,Contact Parish Office,Pastor,"North Central Windsor Family"
Windsor,Immaculate Heart Catholic Church,Roman Catholic,2153 Parkwood Avenue,ON,N8W 2W9,519-254-4512,https://olph.dionet.org/,Rev. Glen Ball,Pastor,"Rose City Central Family"
Windsor,Our Lady of Perpetual Help Catholic Church,Roman Catholic,904 Grand Marais Road East,ON,N8X 3H8,519-969-3477,https://olph.dionet.org/,Rev. Glen Ball,Pastor,"Rose City Central Family"
Windsor,Holy Trinity Catholic Church,Roman Catholic,1035 Ellis Street East,ON,N8X 2J2,519-253-5863,https://olph.dionet.org/,Rev. Glen Ball,Pastor,"Polish community parish; Rose City Central Family"
Windsor,St. Michael Catholic Church,Roman Catholic,2153 Parkwood Avenue,ON,N8W 2W9,519-254-4512,https://olph.dionet.org/,Rev. Glen Ball,Pastor,"Rose City Central Family; Walkerville area"
Windsor,St. Francis of Assisi Catholic Church,Roman Catholic,1701 Turner Road,ON,N8J 3R5,519-735-2712,https://olph.dionet.org/,Rev. Glen Ball,Pastor,"Rose City Central Family"
Windsor,Our Lady of the Atonement Catholic Church,Roman Catholic,4820 Riverside Drive East,ON,N8Y 1B5,519-945-1999,https://eastwindsorcatholic.dol.ca/,Contact Parish Office,Pastor,"East Windsor Family"
Windsor,St. John Vianney Catholic Church,Roman Catholic,4540 Seminole Street,ON,N8Y 1S2,519-945-1999,https://eastwindsorcatholic.dol.ca/,Contact Parish Office,Pastor,"East Windsor Family"
Windsor,St. Vincent de Paul Catholic Church,Roman Catholic,4540 Seminole Street,ON,N8Y 1S2,519-945-1999,https://eastwindsorcatholic.dol.ca/,Contact Parish Office,Pastor,"East Windsor Family"
Windsor,St. Anthony of Padua Catholic Church,Roman Catholic,1493 Parent Avenue,ON,N8X 4J4,519-253-3151,https://eastwindsorcatholic.dol.ca/,Contact Parish Office,Pastor,"East Windsor Family"
Windsor,Our Lady of Guadalupe Catholic Church,Roman Catholic,834 Raymo Road,ON,N9A 5K1,519-256-4231,https://olgwindsor.org/,Contact Parish Office,Pastor,"Hispanic Catholic Community; North Central Windsor Family"
Windsor,Sts. Cyril and Methodius Catholic Church,Roman Catholic,1775 Chandler Road,ON,N8X 3X4,519-948-4133,https://ncwcf.dol.ca/,Contact Parish Office,Pastor,"Slovak community; North Central Windsor Family"
Windsor,All Saints Anglican Church,Anglican,330 City Hall Square West,ON,N9A 1J3,519-253-8001,https://allsaintswindsor.ca/,Rev. Bob Masters,Rector,"Downtown Windsor; Active community programs; Also serves St. Augustine of Canterbury"
Windsor,Church of the Ascension Anglican,Anglican,1385 University Avenue West,ON,N9B 1B6,519-256-4341,http://ascensionwindsor.ca/,Rev. Canon Lance Smith,Rector,"West end Windsor; Historic church"
Windsor,St. Matthew's Anglican Church,Anglican,1600 Norfolk Street,ON,N9E 1H5,519-969-1510,http://www.saintmatthewswindsor.ca/,Rev. Andreas Thiel,Rector,"South Windsor"
Windsor,St. Mary's Anglican Church (Walkerville),Anglican,1983 St. Mary's Gate,ON,N8Y 1R3,519-252-1232,https://diohuron.org/,Contact Parish Office,Rector,"Walkerville area"
Windsor,St. John's Anglican Church (Sandwich),Anglican,3305 Sandwich Street,ON,N9C 1B1,519-253-4655,https://stjohnswindsor.wordpress.com/,Contact Parish Office,Rector,"Historic Sandwich Town"
Windsor,Church of St. David and St. Mark Anglican,Anglican,3401 Byng Road,ON,N8W 3H6,519-966-3262,https://diohuron.org/,Contact Parish Office,Rector,"South Windsor"
Windsor,Emmanuel United Church,United Church of Canada,1728 Lincoln Road,ON,N8Y 2B7,519-254-6845,https://www.emmanuelunited.org/,Rev. George Bozanich,Minister,"First United Church in Canada; Merged with Central United"
Windsor,Riverside United Church,United Church of Canada,881 Glidden Avenue,ON,N8P 1E7,519-948-5260,https://riversideunitedchurch.ca/,Contact Church Office,Minister,"Active community programs"
Windsor,Calvary Baptist Church,Baptist,525 Elinor Street,ON,N8P 1E3,519-969-6112,https://www.calvarybaptistwindsor.com/,Contact Church Office,Pastor,"Conservative Baptist; Strong Bible teaching"
Windsor,Ambassador Baptist Church,Baptist,3285 Manchester Road,ON,N9C 1Y1,519-256-8431,https://www.abcwindsor.ca/,Rev. James Odedeyi,Pastor,"Independent Baptist"
Windsor,Grace Baptist Church,Baptist,3150 Tecumseh Road East,ON,N8W 1H1,519-948-0846,https://gracebaptistwindsor.com/,Contact Church Office,Pastor,"CBOQ member church"
Windsor,Riverside Baptist Church,Baptist,8300 Little River Road,ON,N8S 2B5,519-945-5410,https://riversidebaptistchurch.ca/,Contact Church Office,Pastor,"Fellowship Baptist"
Windsor,The Gathering Church,Baptist,1821 Provincial Road,ON,N8W 5V7,519-962-5110,https://www.tgcw.org/,Pastor Garth Leno,Lead Pastor,"Gospel-focused Baptist; Growing congregation; Planted 2014"
Windsor,Parkwood Gospel Church,Evangelical/Non-denominational,3005 Temple Drive,ON,N8W 5E5,519-948-7055,https://parkwoodwindsor.com/,Pastor Daniel Gray,Lead Pastor,"Multi-generational; Food bank ministry; Large congregation 500+"
Windsor,Harvest Bible Church,Evangelical/Non-denominational,2001 Spring Garden Road,ON,N9E 3P8,519-250-5520,https://harvestbiblechurch.ca/,Pastor Aaron Rock,Lead Pastor,"Growing evangelical church; Multiple services; Founded 2001"
Windsor,Grace Bible Church,Evangelical/Non-denominational,1855 Huron Church Road,ON,N9C 2L6,226-216-5189,https://gbc-windsor.org/,Contact Church Office,Pastor,"Bible teaching focus"
Windsor,Evangelical Free Church of Windsor,Evangelical/Non-denominational,2955 Dominion Blvd,ON,N9E 2P6,519-969-6818,https://www.efcwindsor.org/,Contact Church Office,Pastor,"EFCC member"
Windsor,Pentecostals of Windsor,Pentecostal,7380 Wyandotte Street East,ON,N8S 1N8,519-944-6847,https://www.pentecostalsofwindsor.faith/,Contact Church Office,Pastor,"PAOC affiliated; Active youth ministry"
Windsor,Windsor Gospel Assembly,Church of God,2620 Brooklyn Avenue,ON,N9H 2L5,519-969-7100,,Contact Church Office,Pastor,"Church of God"
Windsor,Peace Lutheran Church,Lutheran (LCMS),1985 Rossini Boulevard,ON,N8W 4P6,519-945-1344,https://www.peacewindsor.com/,Rev. James Leistico,Pastor,"LCMS English District"
Windsor,Holy Cross Greek Orthodox Church,Greek Orthodox,65 Ellis Street East,ON,N8X 2G8,519-252-3435,https://www.gocw.ca/,Fr. Constantine Katsilas,Priest,"Greek community; Large cultural centre"
Windsor,St. Demetrius Serbian Orthodox Church,Serbian Orthodox,2690 Seminole Street,ON,N8Y 1X7,519-567-2460,https://www.istocnik.ca/,Archpriest Miroljub Todorovic,Priest,"Serbian community; Est. 1965"
Windsor,Gracanica Serbian Orthodox Church,Serbian Orthodox,1960 Meldrum Road,ON,N8W 4E2,519-945-8555,https://gracanica.ca/,Contact Church Office,Priest,"Serbian community; 75+ years"
Windsor,Ukrainian Orthodox Cathedral of St. Vladimir,Ukrainian Orthodox,2000 Tecumseh Road East,ON,N8W 1E2,519-254-8067,https://www.stvladimirs.com/,Very Rev. Archpriest Roman Kocur,Priest,"Ukrainian community; Cultural centre"
Windsor,St. George Romanian Orthodox Cathedral,Romanian Orthodox,1960 Tecumseh Road East,ON,N8W 1E1,519-253-9333,https://www.episcopia.ca/,Contact Church Office,Priest,"Romanian community"
Windsor,St. John the Divine Orthodox Church,Orthodox Church in America,1094 Drouillard Road,ON,N8Y 2P8,519-253-7726,https://stjohnwindsor.org/,Archpriest John Ayoub,Interim Priest-in-Charge,"OCA parish; English services"
Windsor,Windsor Islamic Association (Windsor Mosque),Muslim/Islamic,1320 Northwood Street,ON,N9E 1A4,519-966-2355,https://windsorislamicassociation.com/,Imam Mohamed Elshaikh,Imam,"Est. 1964; Serves 25,000+ Muslims; Major community hub"
Windsor,Rose City Islamic Centre,Muslim/Islamic,5420 Empress Street,ON,N8T 1B4,519-948-4500,https://windsorislamicassociation.com/,Contact Centre,Imam,"Sunni mosque; Branch of Windsor Islamic Association"
Windsor,Masjid Noor ul Islam (Lincoln Road Mosque),Muslim/Islamic,659 Lincoln Road,ON,N8Y 2G8,519-973-0000,https://noorulislam.ca/,Contact Centre,Imam,"Community programs"
Windsor,RCCG Restoration House Windsor,Pentecostal/RCCG,1493 Langlois Avenue,ON,N8X 4L8,519-962-5880,https://www.restorationhousewindsor.ca/,Contact Church Office,Pastor,"Redeemed Christian Church of God"
Windsor,RCCG Throne of Grace Windsor,Pentecostal/RCCG,Contact for address,ON,N9A 4N1,519-971-0019,https://www.throneofgracewindsor.com/,Contact Church Office,Pastor,"Redeemed Christian Church of God"
Windsor,RCCG Adullam (House of Refuge),Pentecostal/RCCG,1636 Tecumseh Road West,ON,N9B 1T8,519-999-0000,https://adullamparish.com/,Contact Church Office,Pastor,"Redeemed Christian Church of God"
Windsor,Gurdwara Khalsa Parkash,Sikh,7955 County Road 42,ON,N0R 1K0,519-735-6938,http://gurdwarakhalsaparkash.com/,Harjinder Singh Kandola,President,"Sikh community; 1000+ members; Langar service"
Windsor,Hindu Temple and Cultural Centre,Hindu,7007 Enterprise Way,ON,N8T 3N6,519-966-3390,https://hmccw.org/,Contact Temple,President,"Est. 1968; Cultural programs; Major Hindu temple"
Windsor,Congregation Shaar Hashomayim,Jewish/Orthodox,115 Giles Boulevard East,ON,N9A 4C1,519-256-3123,https://shaarwindsor.org/,Rabbi Sholom Galperin,Rabbi,"Historic synagogue; Windsor Jewish community; Built 1929"
LaSalle,Sacred Heart Catholic Church,Roman Catholic,219 Sacred Heart Drive,ON,N9H 1E7,519-966-1953,https://lasallerivercanardfamily.dol.ca/,Contact Parish Office,Pastor,"LaSalle-River Canard Family of Parishes"
LaSalle,St. Paul Catholic Church,Roman Catholic,5885 Malden Road,ON,N9H 1S4,519-969-5566,https://lasallerivercanardfamily.dol.ca/,Contact Parish Office,Pastor,"LaSalle-River Canard Family of Parishes"
LaSalle,St. Andrew's Anglican Church,Anglican,205 Laurier Drive,ON,N9J 1L7,519-734-7682,https://diohuron.org/essex/st-andrews-church-lasalle,Contact Parish Office,Rector,"Diocese of Huron; Services 8:30am and 10:30am"
LaSalle,Heritage Park Alliance Church,Non-denominational,2501 Concession Road 6,ON,N9H 0B5,519-966-1953,https://www.hpac.org/,Contact Church Office,Pastor,"Community church; Sunday 10am service"
Tecumseh,Ste. Anne Catholic Church,Roman Catholic,12233 Tecumseh Road East,ON,N8N 1M1,519-735-1731,https://catholicfamily.ca/,Fr. Chris Gillespie,Pastor,"Windsor-Lake St. Clair Family; Est. 1859; Historic"
Tecumseh,Good Shepherd Catholic Church,Roman Catholic,462 Advance Boulevard,ON,N8N 5G8,519-735-9517,https://catholicfamily.ca/,Fr. Chris Gillespie,Pastor,"Windsor-Lake St. Clair Family"
Tecumseh,St. Gregory's Anglican Church,Anglican,13789 St. Gregory Road,ON,N8N 2L9,519-735-1731,https://diohuron.org/,Contact Parish Office,Rector,"Diocese of Huron"
Amherstburg,St. John the Baptist Catholic Church,Roman Catholic,225 Brock Street,ON,N9V 2G6,519-736-5418,https://ahcfop.ca/,Contact Parish Office,Pastor,"Amherstburg-Harrow Family; Historic parish"
Amherstburg,Christ Church Anglican,Anglican,168 Ramsay Street,ON,N9V 1X1,519-736-5401,https://diohuron.org/,Contact Parish Office,Rector,"Oldest church in Essex County; Built 1818-1819"
Amherstburg,Amherstburg Community Church,Non-denominational,125 Alma Street,ON,N9V 1A3,519-736-5644,,Contact Church Office,Pastor,"Community church"
Leamington,St. Michael Catholic Church,Roman Catholic,29 Elliott Street,ON,N8H 3M4,519-326-2643,https://esscatholic.ca/,Contact Parish Office,Pastor,"Erie Shores South Family; Large parish"
Leamington,St. Joseph Catholic Church,Roman Catholic,Contact for address,ON,,519-326-2643,https://esscatholic.ca/,Contact Parish Office,Pastor,"Erie Shores South Family"
Leamington,North Leamington United Church,United Church of Canada,625 6th Road,ON,N8H 3V8,519-326-7928,,Contact Church Office,Minister,"Rural congregation"
Leamington,Leamington United Mennonite Church,Mennonite,78 Oak Street East,ON,N8H 2C5,519-326-2727,,Contact Church Office,Pastor,"Large Mennonite community"
Leamington,Faith Mennonite Church,Mennonite,269 Erie Street South,ON,N8H 3C3,519-326-3637,,Contact Church Office,Pastor,"Mennonite congregation"
Leamington,Leamington District Memorial Hospital Chapel,Interfaith,Contact Hospital,ON,,,Hospital Chaplaincy,Chaplain,Chaplain,"Hospital chaplaincy"
Kingsville,St. John de Brebeuf Catholic Church,Roman Catholic,67 Main Street East,ON,N9Y 1H2,519-733-6591,https://esscatholic.ca/,Rev. Richard K. Janisse,Parish Priest,"Erie Shores South Family; Est. 1930"
Kingsville,Epworth United Church,United Church of Canada,56 Division Street South,ON,N9Y 1P6,519-733-4154,https://www.epworthkingsville.com/,Contact Church Office,Minister,"United Church"
Kingsville,First Baptist Church Kingsville,Baptist,58 Division Street North,ON,N9Y 2E8,519-733-4144,https://www.firstbaptistkingsville.com/,Contact Church Office,Pastor,"Baptist congregation"
Lakeshore/Belle River,St. Simon and St. Jude Catholic Church,Roman Catholic,488 St. Charles Street,ON,N0R 1A0,519-728-3381,https://stsimonstjude.ca/,Fr. Chris Gillespie,Pastor,"Windsor-Lake St. Clair Family; Founded 1834; Historic"
Lakeshore/Belle River,St. Jerome Catholic Church,Roman Catholic,Contact for address,ON,,519-728-3381,https://catholicfamily.ca/,Fr. Chris Gillespie,Pastor,"Windsor-Lake St. Clair Family"
Lakeshore/Woodslee,St. John the Evangelist Catholic Church,Roman Catholic,1688 County Road 46,ON,N0R 1V0,519-776-8483,https://centralessexcatholic.dol.ca/,Rev. Seejo John,Pastor,"Central Essex Family"
Essex,Holy Name of Jesus Catholic Church,Roman Catholic,146 Talbot Street South,ON,N8M 1B4,519-776-7635,https://centralessexcatholic.dol.ca/,Rev. Seejo John,Pastor,"Central Essex Family; Est. 1887"
Essex,Trinity Anglican Church,Anglican,87 Talbot Street North,ON,N8M 1A6,519-776-7339,https://diohuron.org/,Contact Parish Office,Rector,"Diocese of Huron"
Essex,Essex United Church,United Church of Canada,53 Talbot Street South,ON,N8M 1B1,519-776-5121,https://www.essexunitedchurch.ca/,Contact Church Office,Minister,"Sunday worship 10:30am"
McGregor,St. Clement Catholic Church,Roman Catholic,9567 County Road 11,ON,N0R 1J0,519-726-5127,https://centralessexcatholic.dol.ca/,Rev. Seejo John,Pastor,"Central Essex Family"
Maidstone,St. Mary Catholic Church,Roman Catholic,12048 County Road 34,ON,N0R 1K0,519-737-6869,https://centralessexcatholic.dol.ca/,Rev. Seejo John,Pastor,"Central Essex Family; Est. 1846"
Harrow,St. Anthony of Padua Catholic Church,Roman Catholic,120 Munger Street West,ON,N0R 1G0,519-733-6591,https://ahcfop.ca/,Contact Parish Office,Pastor,"Amherstburg-Harrow Family; Est. 1906"
Harrow,Harrow United Church,United Church of Canada,45 Munger Street East,ON,N0R 1G0,519-738-4223,https://www.harrowunited.org/,Contact Church Office,Minister,"United Church"
Chatham,Blessed Sacrament Catholic Church,Roman Catholic,145 Victoria Avenue,ON,N7L 3A7,519-352-9370,https://ccfp.dol.ca/,Rev. Slawomir Szwagrzyk,Pastor,"Chatham Catholic Family of Parishes"
Chatham,St. Joseph Catholic Church,Roman Catholic,180 Wellington Street West,ON,N7M 3P3,519-352-8530,https://ccfp.dol.ca/,Rev. Slawomir Szwagrzyk,Pastor,"Chatham Catholic Family of Parishes"
Chatham,St. Agnes Catholic Church,Roman Catholic,52 Croydon Street,ON,N7L 1L3,519-352-9483,https://ccfp.dol.ca/,Rev. Slawomir Szwagrzyk,Pastor,"Chatham Catholic Family of Parishes"
Chatham,St. Ursula Catholic Church,Roman Catholic,205 Tweedsmuir Avenue West,ON,N7M 5N8,519-352-8530,https://ccfp.dol.ca/,Rev. Slawomir Szwagrzyk,Pastor,"Chatham Catholic Family of Parishes"
Chatham,Our Lady of Victory Catholic Church,Roman Catholic,490 St. Clair Street,ON,N7L 3K8,519-354-4391,https://ccfp.dol.ca/,Rev. Slawomir Szwagrzyk,Pastor,"Chatham Catholic Family of Parishes"
Chatham,Holy Trinity St. Paul's Anglican Church,Anglican,81 Selkirk Street,ON,N7L 1Y8,519-354-1072,https://holytrinitystpauls.ca/,Contact Parish Office,Rector,"Diocese of Huron"
Chatham,St. Andrew's United Church,United Church of Canada,85 William Street South,ON,N7M 4C5,519-352-0010,https://www.standrewschatham.org/,Contact Church Office,Minister,"Est. 1834; Historic 188+ years"
Chatham,Emmanuel Baptist Church,Baptist,220 Victoria Avenue,ON,N7L 3A9,519-354-7550,https://ebcc.ca/,Contact Church Office,Pastor,"Active Baptist congregation"
Chatham,Maple City Baptist Church,Baptist,500 Indian Creek Road West,ON,N7M 0N2,519-351-2288,https://maplecitybaptistchurch.com/,Contact Church Office,Pastor,"Sunday School for all ages"
Chatham,Evangel Community Church,Evangelical/Non-denominational,76 Sandys Street,ON,N7L 4P7,519-354-0330,https://www.evangelck.com/,Contact Church Office,Pastor,"Family focused; Active community ministry"
Chatham,Chatham Baptist Chapel,Baptist,124 William Street South,ON,N7M 4C5,519-352-7466,,Contact Church Office,Pastor,"Baptist congregation"
Chatham,Bethel Pentecostal Tabernacle,Pentecostal,35 McNaughton Avenue,ON,N8A 1R9,519-627-6413,,Contact Church Office,Pastor,"Pentecostal Assemblies"
Wallaceburg,St. James the Apostle Anglican Church,Anglican,719 James Street,ON,N8A 2P4,519-627-1302,https://stjameswallaceburg.ca/,Contact Parish Office,Rector,"Diocese of Huron; Sunday 10:30am service"
Wallaceburg,Holy Family Catholic Church,Roman Catholic,647 Murray Street,ON,N8A 1W1,519-627-2013,https://klrcfp.com/,Fr. Chris Pietraszko,Pastor,"Kent Lambton Family of Parishes"
Wallaceburg,Our Lady Help of Christians Catholic Church,Roman Catholic,422 Elgin Street,ON,N8A 3E7,519-627-3310,https://klrcfp.com/,Fr. Chris Pietraszko,Pastor,"Kent Lambton Family of Parishes"
Wallaceburg,Trinity United Church,United Church of Canada,750 Wellington Street,ON,N8A 2Y6,519-627-1472,https://www.trinityunitedwallaceburg.com/,Contact Church Office,Minister,"United Church"
Tilbury,St. Francis Xavier Catholic Church,Roman Catholic,32 Canal Street West,ON,N0P 2L0,519-682-1102,https://eriestclairparishes.com/,Rev. Paul Kim,Pastor,"Lakes Erie and St. Clair Family"
Tilbury,Tilbury United Church,United Church of Canada,Contact for address,ON,,,Contact Church,Contact Church Office,Minister,"United Church"
Ridgetown,St. Michael Catholic Church,Roman Catholic,26 George Street,ON,N0P 2C0,519-674-3343,https://southkentcatholicfamilyofparishes.ca/,Fr. Romeo Fernandes OFM Cap,Pastor,"South Kent Catholic Family"
Ridgetown,Trinity Anglican Church,Anglican,Contact for address,ON,,519-674-5488,https://diohuron.org/,Contact Parish Office,Rector,"Diocese of Huron"
Ridgetown,Ridgetown Baptist Church,Baptist,14 Head Street,ON,N0P 2C0,519-359-9490,https://ridgetownbaptistchurch.com/,Contact Church Office,Pastor,"Baptist congregation"
Blenheim,St. Mary Catholic Church,Roman Catholic,95 Marlborough Street North,ON,N0P 1A0,519-676-2025,https://southkentcatholicfamilyofparishes.ca/,Fr. Romeo Fernandes OFM Cap,Pastor,"South Kent Catholic Family"
Blenheim,Trinity Anglican-Lutheran Church,Anglican/Lutheran,59 Ellen Street,ON,N0P 1A0,519-676-2081,https://diohuron.org/,Contact Parish Office,Rector,"Joint Anglican-Lutheran; Diocese of Huron"
Blenheim,Blenheim Baptist Church,Baptist,24 Talbot Street East,ON,N0P 1A0,519-676-3886,https://www.blenheimbc.org/,Contact Church Office,Pastor,"Active Baptist; Community focused"
Blenheim,Blenheim United Church,United Church of Canada,Contact for address,ON,,519-676-5574,https://www.blenheimunitedchurch.com/,Contact Church Office,Minister,"Blenheim Ministerial Association member"
Dresden,St. Michael Catholic Church,Roman Catholic,690 Tecumseh Street,ON,N0P 1M0,519-627-2013,https://klrcfp.com/,Fr. Chris Pietraszko,Pastor,"Kent Lambton Family of Parishes"
Dresden,Dresden United Church,United Church of Canada,Elizabeth Street,ON,,,https://sites.google.com/view/thamesvilleunitedchurch/,Contact Church Office,Minister,"NeighbourLink partner"
Dresden,Thamesville Baptist Church,Baptist,9 Alice Street,ON,,,Contact Church,Contact Church Office,Pastor,"Baptist congregation"
Comber,Visitation Catholic Church,Roman Catholic,5407 Comber Sideroad,ON,N0P 2L0,519-687-3118,https://visitationcomber.ca/,Rev. Paul Kim,Pastor,"Lakes Erie and St. Clair Family"
Pain Court,Immaculate Conception Catholic Church,Roman Catholic,24150 Winter Line Road,ON,N0P 1Z0,519-354-3694,https://eriestclairparishes.com/,Contact Parish Office,Pastor,"Lakes Erie and St. Clair Family"
Thamesville,St. Mary Catholic Church,Roman Catholic,107 Elizabeth Street,ON,N0P 2K0,519-692-3571,https://southkentcatholicfamilyofparishes.ca/,Fr. Romeo Fernandes OFM Cap,Pastor,"South Kent Catholic Family"
Thamesville,Thamesville United Church,United Church of Canada,Elizabeth Street,ON,N0P 2K0,,https://sites.google.com/view/thamesvilleunitedchurch/,Contact Church Office,Minister,"NeighbourLink founding member"
River Canard,St. Joseph Catholic Church,Roman Catholic,9399 North Townline Road,ON,N9H 0A7,519-966-1953,https://lasallerivercanardfamily.dol.ca/,Contact Parish Office,Pastor,"LaSalle-River Canard Family"
Stoney Point,St. Joachim Catholic Church,Roman Catholic,County Road 31 (French Line),ON,N0R 1N0,519-735-1731,https://catholicfamily.ca/,Fr. Chris Gillespie,Pastor,"Diocese of London; Historic 1881"
